Match Number,Round Number,Date,Location,Home Team,Away Team,Result
289,29,12/03/2021 21:00,Stade Auguste Delaune,Stade de Reims,Olympique Lyonnais,1 - 1
281,29,13/03/2021 13:00,Stade Raymond Kopa,Angers SCO,AS Saint-Etienne,0 - 1
285,29,13/03/2021 17:00,Orange Vélodrome,Olympique de Marseille,Stade Brestois 29,3 - 1
287,29,14/03/2021 13:00,Stade des Costières,Nîmes Olympique,Montpellier Hérault SC,1 - 1
282,29,14/03/2021 15:00,Stade Gaston Gérard,Dijon FCO,Girondins de Bordeaux,1 - 3
283,29,14/03/2021 15:00,Stade Bollaert-Delelis,RC Lens,FC Metz,2 - 2
284,29,14/03/2021 15:00,Stade du Moustoir,FC Lorient,OGC Nice,1 - 1
290,29,14/03/2021 15:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,1 - 0
286,29,14/03/2021 17:05,Stade Louis II,AS Monaco,LOSC,0 - 0
288,29,14/03/2021 21:00,Parc des Princes,Paris Saint-Germain,FC Nantes,1 - 2
298,30,19/03/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,AS Monaco,0 - 4
294,30,20/03/2021 13:00,Stade Saint-Symphorien,FC Metz,Stade Rennais FC,1 - 3
297,30,20/03/2021 17:00,Allianz Riviera,OGC Nice,Olympique de Marseille,3 - 0
299,30,21/03/2021 13:00,Stade de la Meinau,RC Strasbourg Alsace,RC Lens,1 - 2
291,30,21/03/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,0 - 0
292,30,21/03/2021 15:00,Stade Gaston Gérard,Dijon FCO,Stade de Reims,0 - 1
295,30,21/03/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,Girondins de Bordeaux,3 - 1
296,30,21/03/2021 15:00,Stade de la Beaujoire,FC Nantes,FC Lorient,1 - 1
293,30,21/03/2021 17:05,Stade Pierre-Mauroy,LOSC,Nîmes Olympique,1 - 2
300,30,21/03/2021 21:00,Groupama Stadium,Olympique Lyonnais,Paris Saint-Germain,2 - 4
306,31,03/04/2021 13:00,Stade Louis II,AS Monaco,FC Metz,4 - 0
309,31,03/04/2021 17:00,Parc des Princes,Paris Saint-Germain,LOSC,0 - 1
303,31,03/04/2021 21:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,1 - 1
301,31,04/04/2021 13:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,1 - 1
302,31,04/04/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,RC Strasbourg Alsace,2 - 3
