Match Number,Round Number,Date,Location,Home Team,Away Team,Result
25,3,02/09/2018 20:30,Stadio Atleti Azzurri d'Italia,Atalanta,Cagliari,0 - 1
26,3,02/09/2018 20:30,Stadio Marc'Antonio Bentegodi,Chievoverona,Empoli,0 - 0
27,3,02/09/2018 20:30,Stadio Olimpico,Lazio,Frosinone,1 - 0
28,3,02/09/2018 20:30,Stadio Luigi Ferraris,Sampdoria,Napoli,3 - 0
29,3,02/09/2018 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Genoa,5 - 3
30,3,02/09/2018 20:30,Stadio Olimpico Grande Torino,Torino,Spal,1 - 0
35,4,15/09/2018 15:00,Stadio Giuseppe Meazza,Inter,Parma,0 - 1
37,4,15/09/2018 18:00,Stadio San Paolo,Napoli,Fiorentina,1 - 0
33,4,15/09/2018 20:30,Stadio Benito Stirpe,Frosinone,Sampdoria,0 - 5
38,4,16/09/2018 12:30,Stadio Olimpico,Roma,Chievoverona,2 - 2
34,4,16/09/2018 15:00,Stadio Luigi Ferraris,Genoa,Bologna,1 - 0
36,4,16/09/2018 15:00,Allianz Stadium,Juventus,Sassuolo,2 - 1
40,4,16/09/2018 15:00,Stadio Friuli,Udinese,Torino,1 - 1
32,4,16/09/2018 18:00,Stadio Carlo Castellani,Empoli,Lazio,0 - 1
31,4,16/09/2018 20:30,Sardegna Arena,Cagliari,Milan,1 - 1
39,4,17/09/2018 20:30,Stadio Paolo Mazza,Spal,Atalanta,2 - 0
8,4,19/09/2018 19:00,Stadio Luigi Ferraris,Sampdoria,Fiorentina,1 - 1
49,5,21/09/2018 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Empoli,3 - 1
47,5,22/09/2018 15:00,Stadio Ennio Tardini,Parma,Cagliari,2 - 0
43,5,22/09/2018 18:00,Stadio Artemio Franchi,Fiorentina,Spal,3 - 0
48,5,22/09/2018 20:30,Stadio Luigi Ferraris,Sampdoria,Inter,0 - 1
50,5,23/09/2018 12:30,Stadio Olimpico Grande Torino,Torino,Napoli,1 - 3
41,5,23/09/2018 15:00,Stadio Renato Dall'Ara,Bologna,Roma,2 - 0
42,5,23/09/2018 15:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Udinese,0 - 2
45,5,23/09/2018 15:00,Stadio Olimpico,Lazio,Genoa,4 - 1
46,5,23/09/2018 18:00,Stadio Giuseppe Meazza,Milan,Atalanta,2 - 2
44,5,23/09/2018 20:30,Stadio Benito Stirpe,Frosinone,Juventus,0 - 2
55,6,25/09/2018 21:00,Stadio Giuseppe Meazza,Inter,Fiorentina,2 - 1
60,6,26/09/2018 19:00,Stadio Friuli,Udinese,Lazio,1 - 2
51,6,26/09/2018 21:00,Stadio Atleti Azzurri d'Italia,Atalanta,Torino,0 - 0
52,6,26/09/2018 21:00,Sardegna Arena,Cagliari,Sampdoria,0 - 0
54,6,26/09/2018 21:00,Stadio Luigi Ferraris,Genoa,Chievoverona,2 - 0
56,6,26/09/2018 21:00,Allianz Stadium,Juventus,Bologna,2 - 0
57,6,26/09/2018 21:00,Stadio San Paolo,Napoli,Parma,3 - 0
58,6,26/09/2018 21:00,Stadio Olimpico,Roma,Frosinone,4 - 0
59,6,27/09/2018 19:00,Stadio Paolo Mazza,Spal,Sassuolo,0 - 2
53,6,27/09/2018 21:00,Stadio Carlo Castellani,Empoli,Milan,1 - 1
61,7,29/09/2018 18:00,Stadio Olimpico,Roma,Lazio,3 - 1
70,7,29/09/2018 18:00,Allianz Stadium,Juventus,Napoli,3 - 1
66,7,29/09/2018 20:30,Stadio Giuseppe Meazza,Inter,Cagliari,2 - 0
62,7,30/09/2018 12:30,Stadio Renato Dall'Ara,Bologna,Udinese,2 - 1
63,7,30/09/2018 15:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Torino,0 - 1
64,7,30/09/2018 15:00,Stadio Artemio Franchi,Fiorentina,Atalanta,2 - 0
65,7,30/09/2018 15:00,Stadio Benito Stirpe,Frosinone,Genoa,1 - 2
67,7,30/09/2018 18:00,Stadio Ennio Tardini,Parma,Empoli,1 - 0
69,7,30/09/2018 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Milan,1 - 4
68,7,01/10/2018 20:30,Stadio Luigi Ferraris,Sampdoria,Spal,2 - 1
79,8,05/10/2018 20:30,Stadio Olimpico Grande Torino,Torino,Frosinone,3 - 2
72,8,06/10/2018 15:00,Sardegna Arena,Cagliari,Bologna,2 - 0
80,8,06/10/2018 18:00,Stadio Friuli,Udinese,Juventus,0 - 2
73,8,06/10/2018 20:30,Stadio Carlo Castellani,Empoli,Roma,0 - 2
74,8,07/10/2018 12:30,Stadio Luigi Ferraris,Genoa,Parma,1 - 3
71,8,07/10/2018 15:00,Stadio Atleti Azzurri d'Italia,Atalanta,Sampdoria,0 - 1
75,8,07/10/2018 15:00,Stadio Olimpico,Lazio,Fiorentina,1 - 0
76,8,07/10/2018 15:00,Stadio Giuseppe Meazza,Milan,Chievoverona,3 - 1
77,8,07/10/2018 18:00,Stadio San Paolo,Napoli,Sassuolo,2 - 0
78,8,07/10/2018 20:30,Stadio Paolo Mazza,Spal,Inter,1 - 2
87,9,20/10/2018 15:00,Stadio Olimpico,Roma,Spal,0 - 2
85,9,20/10/2018 18:00,Allianz Stadium,Juventus,Genoa,1 - 1
89,9,20/10/2018 20:30,Stadio Friuli,Udinese,Napoli,0 - 3
81,9,21/10/2018 15:00,Stadio Renato Dall'Ara,Bologna,Torino,2 - 2
82,9,21/10/2018 15:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Atalanta,1 - 5
84,9,21/10/2018 15:00,Stadio Benito Stirpe,Frosinone,Empoli,3 - 3
86,9,21/10/2018 15:00,Stadio Ennio Tardini,Parma,Lazio,0 - 2
83,9,21/10/2018 18:00,Stadio Artemio Franchi,Fiorentina,Cagliari,1 - 1
90,9,21/10/2018 20:30,Stadio Giuseppe Meazza,Inter,Milan,1 - 0
88,9,22/10/2018 20:30,Stadio Luigi Ferraris,Sampdoria,Sassuolo,0 - 0
91,10,27/10/2018 15:00,Stadio Atleti Azzurri d'Italia,Atalanta,Parma,3 - 0
93,10,27/10/2018 18:00,Stadio Carlo Castellani,Empoli,Juventus,1 - 2
99,10,27/10/2018 20:30,Stadio Olimpico Grande Torino,Torino,Fiorentina,1 - 1
97,10,28/10/2018 12:30,Mapei Stadium – Città del Tricolore,Sassuolo,Bologna,2 - 2
92,10,28/10/2018 15:00,Sardegna Arena,Cagliari,Chievoverona,2 - 1
94,10,28/10/2018 15:00,Stadio Luigi Ferraris,Genoa,Udinese,2 - 2
98,10,28/10/2018 15:00,Stadio Paolo Mazza,Spal,Frosinone,0 - 3
96,10,28/10/2018 18:00,Stadio Giuseppe Meazza,Milan,Sampdoria,3 - 2
100,10,28/10/2018 20:30,Stadio San Paolo,Napoli,Roma,1 - 1
95,10,29/10/2018 20:30,Stadio Olimpico,Lazio,Inter,0 - 3
6,10,31/10/2018 20:30,Stadio Giuseppe Meazza,Milan,Genoa,2 - 1
107,11,02/11/2018 20:30,Stadio San Paolo,Napoli,Empoli,5 - 1
104,11,03/11/2018 15:00,Stadio Giuseppe Meazza,Inter,Genoa,5 - 0
103,11,03/11/2018 18:00,Stadio Artemio Franchi,Fiorentina,Roma,1 - 1
105,11,03/11/2018 20:30,Allianz Stadium,Juventus,Cagliari,3 - 1
106,11,04/11/2018 12:30,Stadio Olimpico,Lazio,Spal,4 - 1
102,11,04/11/2018 15:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Sassuolo,0 - 2
108,11,04/11/2018 15:00,Stadio Ennio Tardini,Parma,Frosinone,0 - 0
109,11,04/11/2018 15:00,Stadio Luigi Ferraris,Sampdoria,Torino,1 - 4
101,11,04/11/2018 18:00,Stadio Renato Dall'Ara,Bologna,Atalanta,1 - 2
110,11,04/11/2018 20:30,Stadio Friuli,Udinese,Milan,0 - 1
114,12,09/11/2018 20:30,Stadio Benito Stirpe,Frosinone,Fiorentina,1 - 1
119,12,10/11/2018 15:00,Stadio Olimpico Grande Torino,Torino,Parma,1 - 2
118,12,10/11/2018 18:00,Stadio Paolo Mazza,Spal,Cagliari,2 - 2
115,12,10/11/2018 20:30,Stadio Luigi Ferraris,Genoa,Napoli,1 - 2
111,12,11/11/2018 12:30,Stadio Atleti Azzurri d'Italia,Atalanta,Inter,4 - 1
112,12,11/11/2018 15:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Bologna,2 - 2
113,12,11/11/2018 15:00,Stadio Carlo Castellani,Empoli,Udinese,2 - 1
116,12,11/11/2018 15:00,Stadio Olimpico,Roma,Sampdoria,4 - 1
117,12,11/11/2018 18:00,Mapei Stadium – Città del Tricolore,Sassuolo,Lazio,1 - 1
120,12,11/11/2018 20:30,Stadio Giuseppe Meazza,Milan,Juventus,0 - 2
130,13,24/11/2018 15:00,Stadio Friuli,Udinese,Roma,1 - 0
126,13,24/11/2018 18:00,Allianz Stadium,Juventus,Spal,2 - 0
125,13,24/11/2018 20:30,Stadio Giuseppe Meazza,Inter,Frosinone,3 - 0
129,13,25/11/2018 12:30,Stadio Ennio Tardini,Parma,Sassuolo,2 - 1
121,13,25/11/2018 15:00,Stadio Renato Dall'Ara,Bologna,Fiorentina,0 - 0
123,13,25/11/2018 15:00,Stadio Carlo Castellani,Empoli,Atalanta,3 - 2
128,13,25/11/2018 15:00,Stadio San Paolo,Napoli,Chievoverona,0 - 0
127,13,25/11/2018 18:00,Stadio Olimpico,Lazio,Milan,1 - 1
124,13,25/11/2018 20:30,Stadio Luigi Ferraris,Genoa,Sampdoria,1 - 1
122,13,26/11/2018 20:30,Sardegna Arena,Cagliari,Torino,0 - 0
138,14,01/12/2018 15:00,Stadio Paolo Mazza,Spal,Empoli,2 - 2
133,14,01/12/2018 18:00,Stadio Artemio Franchi,Fiorentina,Juventus,0 - 3
136,14,01/12/2018 20:30,Stadio Luigi Ferraris,Sampdoria,Bologna,4 - 1
135,14,02/12/2018 12:30,Stadio Giuseppe Meazza,Milan,Parma,2 - 1
134,14,02/12/2018 15:00,Stadio Benito Stirpe,Frosinone,Cagliari,1 - 1
137,14,02/12/2018 15:00,Mapei Stadium – Città del Tricolore,Sassuolo,Udinese,0 - 0
139,14,02/12/2018 15:00,Stadio Olimpico Grande Torino,Torino,Genoa,2 - 1
132,14,02/12/2018 18:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Lazio,1 - 1
140,14,02/12/2018 20:30,Stadio Olimpico,Roma,Inter,2 - 2
131,14,03/12/2018 20:30,Stadio Atleti Azzurri d'Italia,Atalanta,Napoli,1 - 2
141,15,07/12/2018 20:30,Allianz Stadium,Juventus,Inter,1 - 0
147,15,08/12/2018 15:00,Stadio San Paolo,Napoli,Frosinone,4 - 0
142,15,08/12/2018 18:00,Sardegna Arena,Cagliari,Roma,2 - 2
145,15,08/12/2018 20:30,Stadio Olimpico,Lazio,Sampdoria,2 - 2
149,15,09/12/2018 12:30,Mapei Stadium – Città del Tricolore,Sassuolo,Fiorentina,3 - 3
